Agro_ecology,Site,Month,Year,TempMaxi,TempMini,RHMaxi,RHMini,Rainfall,Attractant,Trap,B_dorsa
SGS,Bassila,March,2010,37.9,24.9,77,27,0,ME,1,359
SGS,Bassila,November,2006,38.8,23.6,77,25,0,ME,2,91
SGS,Bassila,January,2008,38.8,23.6,77,25,0,ME,3,53
SGS,Tchourou1,March,2010,37.9,24.9,77,27,62.7,ME,1,86
SGS,Tchourou1,March,2010,37.9,24.9,77,27,62.7,ME,2,53
SGS,Tchourou1,March,2010,37.9,24.9,77,27,62.7,ME,3,115
SGS,Tchourou2,March,2010,37.9,24.9,77,27,62.7,ME,1,23
SGS,Tchourou2,March,2010,37.9,24.9,77,27,62.7,ME,2,7
SGS,Tchourou2,March,2010,37.9,24.9,77,27,62.7,ME,3,16
NGS,Ndali,January,2006,37.3,22.8,76,29,0,ME,1,119
NGS,Ndali,November,2009,33.4,21.3,76,35,24.8,ME,1,181
NGS,Ndali,November,2009,33.4,21.3,76,35,24.8,ME,2,138
NGS,Ndali,November,2009,33.4,21.3,76,35,24.8,ME,3,198
NGS,Parakou,November,2009,33.4,21.3,76,35,24.8,ME,1,31
NGS,Parakou,November,2009,33.4,21.3,76,35,24.8,ME,2,49
NGS,Parakou,November,2009,33.4,21.3,76,35,24.8,ME,3,79
SGS,Alafiarou1,November,2009,33.4,21.3,76,35,0,ME,1,30
SGS,Alafiarou1,November,2009,33.4,21.3,76,35,0,ME,2,69
SGS,Alafiarou1,November,2009,33.4,21.3,76,35,0,ME,3,82
SGS,Alafiarou2,November,2009,33.4,21.3,76,35,0,ME,1,128
SGS,Alafiarou2,November,2009,33.4,21.3,76,35,0,ME,2,126
SGS,Alafiarou2,November,2009,33.4,21.3,76,35,0,ME,3,95
SGS,Bassila,January,2006,37.3,22.8,76,29,19.4,ME,1,146
SGS,Bassila,November,2009,33.4,21.3,76,35,0,ME,1,62
SGS,Bassila,October,2006,37.3,22.8,76,29,19.4,ME,2,323
SGS,Bassila,December,2007,37.3,22.8,76,29,19.4,ME,3,135
SGS,Tchourou1,November,2009,33.4,21.3,76,35,0,ME,1,52
SGS,Tchourou1,November,2009,33.4,21.3,76,35,0,ME,2,43
SGS,Tchourou1,November,2009,33.4,21.3,76,35,0,ME,3,47
SGS,Tchourou2,November,2009,33.4,21.3,76,35,0,ME,1,57
SGS,Tchourou2,November,2009,33.4,21.3,76,35,0,ME,2,0
SGS,Tchourou2,November,2009,33.4,21.3,76,35,0,ME,3,65
NGS,Natitingou,March,2009,38.8,24.4,75,40,9.7,ME,1,29
NGS,Natitingou,March,2009,38.8,24.4,75,40,9.7,ME,2,25
