Agro_ecology,Site,Month,Year,TempMaxi,TempMini,RHMaxi,RHMini,Rainfall,Attractant,Trap,B_dorsa,latitude,longitude
NGS,Papatia,December,2009,37.8,18.2,69,32,0,ME,3,27,6.4000211,2.0491574
NGS,Natitingou,February,2010,38.9,22.3,68,33,0,ME,1,0,10.30416,1.37962
NGS,Natitingou,February,2010,38.9,22.3,68,33,0,ME,2,0,10.30416,1.37962
NGS,Natitingou,February,2010,38.9,22.3,68,33,0,ME,3,2,10.30416,1.37962
NGS,Papatia,February,2010,38.9,22.3,68,33,0,ME,1,1,6.4000211,2.0491574
NGS,Papatia,February,2010,38.9,22.3,68,33,0,ME,2,0,6.4000211,2.0491574
NGS,Papatia,February,2010,38.9,22.3,68,33,0,ME,3,0,6.4000211,2.0491574
NGS,Natitingou,March,2010,32.3,25,66,35,0.2,ME,1,1,10.30416,1.37962
NGS,Natitingou,March,2010,32.3,25,66,35,0.2,ME,2,0,10.30416,1.37962
NGS,Natitingou,March,2010,32.3,25,66,35,0.2,ME,3,0,10.30416,1.37962
NGS,Ndali,December,2009,35,20.3,66,22,7,ME,1,130,9.8592172,2.6998899
NGS,Ndali,December,2009,35,20.3,66,22,7,ME,2,108,9.8592172,2.6998899
NGS,Ndali,December,2009,35,20.3,66,22,7,ME,3,214,9.8592172,2.6998899
NGS,Papatia,March,2010,32.3,25,66,35,0.2,ME,1,0,6.4000211,2.0491574
NGS,Papatia,March,2010,32.3,25,66,35,0.2,ME,2,1,6.4000211,2.0491574
NGS,Papatia,March,2010,32.3,25,66,35,0.2,ME,3,1,6.4000211,2.0491574
NGS,Parakou,December,2009,35,20.3,66,22,7,ME,1,38,9.33716,2.63031
NGS,Parakou,December,2009,35,20.3,66,22,7,ME,2,56,9.33716,2.63031
NGS,Parakou,December,2009,35,20.3,66,22,7,ME,3,38,9.33716,2.63031
SGS,Alafiarou1,December,2009,35,20.3,66,22,0,ME,1,98,9.8923435,3.4187595
SGS,Alafiarou1,December,2009,35,20.3,66,22,0,ME,2,47,9.8923435,3.4187595
SGS,Alafiarou1,December,2009,35,20.3,66,22,0,ME,3,38,9.8923435,3.4187595
SGS,Alafiarou2,December,2009,35,20.3,66,22,0,ME,1,134,9.8923435,3.4187595
SGS,Alafiarou2,December,2009,35,20.3,66,22,0,ME,2,101,9.8923435,3.4187595
SGS,Alafiarou2,December,2009,35,20.3,66,22,0,ME,3,87,9.8923435,3.4187595
SGS,Bassila,December,2009,35,20.3,66,22,0,ME,1,173,9.00814,1.6654
SGS,Tchourou1,December,2009,35,20.3,66,22,0,ME,1,97,8.88649,2.59753
SGS,Tchourou1,December,2009,35,20.3,66,22,0,ME,2,102,8.88649,2.59753
SGS,Tchourou1,December,2009,35,20.3,66,22,0,ME,3,134,8.88649,2.59753
SGS,Tchourou2,December,2009,35,20.3,66,22,0,ME,1,42,8.88649,2.59753
SGS,Tchourou2,December,2009,35,20.3,66,22,0,ME,2,14,8.88649,2.59753
SGS,Tchourou2,December,2009,35,20.3,66,22,0,ME,3,156,8.88649,2.59753
NGS,Ndali,December,2008,36,21,65.6,24.6,30.2,ME,1,441,9.8592172,2.6998899
NGS,Ndali,December,2008,36,21,65.6,24.6,30.2,ME,2,78,9.8592172,2.6998899
NGS,Ndali,December,2008,36,21,65.6,24.6,30.2,ME,3,201,9.8592172,2.6998899
NGS,Parakou,December,2008,36,21,65.6,24.6,30.2,ME,1,216,9.33716,2.63031
NGS,Parakou,December,2008,36,21,65.6,24.6,30.2,ME,2,141,9.33716,2.63031
SGS,Bassila,December,2008,36,21,65.6,24.6,0,ME,1,345,9.00814,1.6654
SGS,Bassila,September,2009,36,21,65.6,24.6,0,ME,2,383,9.00814,1.6654
NGS,Ndali,December,2005,37.2,21,65,21,0,ME,1,170,9.8592172,2.6998899
SGS,Bassila,December,2005,37.2,21,65,21,0,ME,1,198,9.00814,1.6654
SGS,Bassila,September,2006,37.2,21,65,21,0,ME,2,714,9.00814,1.6654
SGS,Bassila,November,2007,37.2,21,65,21,0,ME,3,1443,9.00814,1.6654
NGS,Natitingou,February,2009,38.5,21.8,64,35,10.5,ME,1,27,10.30416,1.37962
NGS,Natitingou,February,2009,38.5,21.8,64,35,10.5,ME,2,8,10.30416,1.37962
NGS,Natitingou,February,2009,38.5,21.8,64,35,10.5,ME,3,5,10.30416,1.37962
NGS,Ndali,November,2006,36.1,20.5,64,24,0,ME,1,315,9.8592172,2.6998899
NGS,Ndali,December,2007,36.5,20.6,64,21.3,5.4,ME,1,81,9.8592172,2.6998899
NGS,Ndali,November,2006,36.1,20.5,64,24,0,ME,2,217,9.8592172,2.6998899
NGS,Ndali,December,2007,36.5,20.6,64,21.3,5.4,ME,2,76,9.8592172,2.6998899
NGS,Ndali,December,2007,36.5,20.6,64,21.3,5.4,ME,3,80,9.8592172,2.6998899
NGS,Papatia,February,2009,38.5,21.8,64,35,10.5,ME,1,2,6.4000211,2.0491574
NGS,Papatia,February,2009,38.5,21.8,64,35,10.5,ME,2,1,6.4000211,2.0491574
NGS,Parakou,December,2007,36.5,20.6,64,21.3,5.4,ME,1,62,9.33716,2.63031
NGS,Parakou,December,2007,36.5,20.6,64,21.3,5.4,ME,2,37,9.33716,2.63031
SGS,Bassila,November,2006,36.1,20.5,64,24,9.4,ME,1,130,9.00814,1.6654
SGS,Bassila,December,2007,36.5,20.6,64,21.3,0,ME,1,146,9.00814,1.6654
SGS,Bassila,August,2007,36.1,20.5,64,24,9.4,ME,2,5682,9.00814,1.6654
SGS,Bassila,September,2008,36.5,20.6,64,21.3,0,ME,2,1630,9.00814,1.6654
SGS,Bassila,October,2008,36.1,20.5,64,24,9.4,ME,3,478,9.00814,1.6654
SGS,Bassila,November,2009,36.5,20.6,64,21.3,0,ME,3,46,9.00814,1.6654
NGS,Ndali,February,2007,38.8,22.6,63,17,0,ME,1,0,9.8592172,2.6998899
NGS,Ndali,February,2007,38.8,22.6,63,17,0,ME,2,0,9.8592172,2.6998899
SGS,Bassila,February,2007,38.8,22.6,63,17,0,ME,1,81,9.00814,1.6654
SGS,Bassila,November,2007,38.8,22.6,63,17,0,ME,2,1409,9.00814,1.6654
SGS,Bassila,January,2009,38.8,22.6,63,17,0,ME,3,82,9.00814,1.6654
SGS,Akofodjoule,January,2008,35.6,20.1,62.8,22.8,0,ME,1,70,7.75,2.38289865
SGS,Akofodjoule,January,2008,35.6,20.1,62.8,22.8,0,ME,2,41,7.75,2.38289865
NGS,Natitingou,January,2010,37.3,18.5,62,30,0,ME,1,3,10.30416,1.37962
NGS,Natitingou,January,2010,37.3,18.5,62,30,0,ME,2,0,10.30416,1.37962
